Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,Daniel E Cicirello Cook,U6177570,,USD,Individual (Broker Client),"May 12, 2021 to January 13, 2026 (Daily)",TWR
Key Statistics,MetaInfo,Analysis Period,"May 12, 2021 - January 13, 2026"
Key Statistics,Header,BeginningNAV,EndingNAV,CumulativeReturn,5DayReturn,5DayReturnDateRange,10DayReturn,10DayReturnDateRange,BestReturn,BestReturnDate,WorstReturn,WorstReturnDate,MTM,Deposits & Withdrawals,Dividends,Interest,Fees & Commissions,Other,ChangeInNAV
Key Statistics,Data,0,380932.318649131,31.391761285,2.12155413,20260107 - 20260113,7.440644532,20251231 - 20260113,9.914936056,20251202,-8.756072512,20251201,25261.745884,305059.27,49123.4137,16055.1790092,-8920.159121272,-5647.130822798,380932.318649131
Historical Performance,MetaInfo,Analysis Period,"May 12, 2021 - January 13, 2026"
Historical Performance,Header,Account,MTD,QTD,YTD,1 Year,3 Year,Since Inception
Historical Performance,Data,U6177570,7.827444112,7.827444112,7.827444112,-1.089720811,26.352192879,31.391761338
Historical Performance,Header,Month,Account,AccountReturn
Historical Performance,Data,202501,U6177570,9.166573608
Historical Performance,Data,202502,U6177570,-11.391185688
Historical Performance,Data,202503,U6177570,-4.079444723
Historical Performance,Data,202504,U6177570,13.360472689
Historical Performance,Data,202505,U6177570,13.493921151
Historical Performance,Data,202506,U6177570,4.259675589
Historical Performance,Data,202507,U6177570,12.600689687
Historical Performance,Data,202508,U6177570,-11.282177553
Historical Performance,Data,202509,U6177570,8.670599269
Historical Performance,Data,202510,U6177570,-6.407808977
Historical Performance,Data,202511,U6177570,-23.680682913
Historical Performance,Data,202512,U6177570,-5.399532345
Historical Performance,Data,202401,U6177570,-1.467777932
Historical Performance,Data,202402,U6177570,2.837743489
Historical Performance,Data,202403,U6177570,4.223675955
Historical Performance,Data,202404,U6177570,-9.217726327
Historical Performance,Data,202405,U6177570,6.691502858
Historical Performance,Data,202406,U6177570,-4.313566777
Historical Performance,Data,202407,U6177570,6.597010918
Historical Performance,Data,202408,U6177570,-2.382647349
Historical Performance,Data,202409,U6177570,5.527919132
Historical Performance,Data,202410,U6177570,2.216798141
Historical Performance,Data,202411,U6177570,17.339716381
Historical Performance,Data,202412,U6177570,-6.449243239
Historical Performance,Data,202301,U6177570,4.514203197
Historical Performance,Data,202302,U6177570,-2.225167645
Historical Performance,Data,202303,U6177570,1.025050915
Historical Performance,Data,202304,U6177570,0.467570985
Historical Performance,Data,202305,U6177570,-2.71937198
Historical Performance,Data,202306,U6177570,3.345940398
Historical Performance,Data,202307,U6177570,2.331373188
Historical Performance,Data,202308,U6177570,-2.975568637
Historical Performance,Data,202309,U6177570,-4.136642916
Historical Performance,Data,202310,U6177570,-4.440400056
Historical Performance,Data,202311,U6177570,8.633448449
Historical Performance,Data,202312,U6177570,6.896059404
Historical Performance,Data,202201,U6177570,1.410975657
Historical Performance,Data,202202,U6177570,-1.481543073
Historical Performance,Data,202203,U6177570,0.364680763
Historical Performance,Data,202204,U6177570,-3.080358522
Historical Performance,Data,202205,U6177570,0.14435747
Historical Performance,Data,202206,U6177570,-1.706733461
Historical Performance,Data,202207,U6177570,2.325917359
Historical Performance,Data,202208,U6177570,1.630773581
Historical Performance,Data,202209,U6177570,-6.625582659
Historical Performance,Data,202210,U6177570,-0.471971013
Historical Performance,Data,202211,U6177570,7.852909538
Historical Performance,Data,202212,U6177570,-0.081417327
Historical Performance,Data,202101,U6177570,-
Historical Performance,Data,202102,U6177570,-
Historical Performance,Data,202103,U6177570,-
Historical Performance,Data,202104,U6177570,-
Historical Performance,Data,202105,U6177570,-
Historical Performance,Data,202106,U6177570,0.996841302
Historical Performance,Data,202107,U6177570,-0.657992409
Historical Performance,Data,202108,U6177570,1.316354598
Historical Performance,Data,202109,U6177570,-0.705640776
Historical Performance,Data,202110,U6177570,0.176916534
Historical Performance,Data,202111,U6177570,-1.662440531
Historical Performance,Data,202112,U6177570,1.079000177
Historical Performance,Header,Quarter,Account,AccountReturn
Historical Performance,Data,2025 Q1,U6177570,-7.214889599
Historical Performance,Data,2025 Q2,U6177570,34.137626769
Historical Performance,Data,2025 Q3,U6177570,8.558538094
Historical Performance,Data,2025 Q4,U6177570,-32.427906659
Historical Performance,Data,2024 Q1,U6177570,5.60809341
Historical Performance,Data,2024 Q2,U6177570,-7.32101806
Historical Performance,Data,2024 Q3,U6177570,9.809376828
Historical Performance,Data,2024 Q4,U6177570,12.205620582
Historical Performance,Data,2023 Q1,U6177570,3.236072009
