Month,Account,AccountReturn
202501,U6177570,9.166573608
202502,U6177570,-11.391185688
202503,U6177570,-4.079444723
202504,U6177570,13.360472689
202505,U6177570,13.493921151
202506,U6177570,4.259675589
202507,U6177570,12.600689687
202508,U6177570,-11.282177553
202509,U6177570,8.670599269
202510,U6177570,-6.407808977
202511,U6177570,-23.680682913
202512,U6177570,-5.399532345
202401,U6177570,-1.467777932
202402,U6177570,2.837743489
202403,U6177570,4.223675955
202404,U6177570,-9.217726327
202405,U6177570,6.691502858
202406,U6177570,-4.313566777
202407,U6177570,6.597010918
202408,U6177570,-2.382647349
202409,U6177570,5.527919132
202410,U6177570,2.216798141
202411,U6177570,17.339716381
202412,U6177570,-6.449243239
202301,U6177570,4.514203197
202302,U6177570,-2.225167645
202303,U6177570,1.025050915
202304,U6177570,0.467570985
202305,U6177570,-2.71937198
202306,U6177570,3.345940398
202307,U6177570,2.331373188
202308,U6177570,-2.975568637
202309,U6177570,-4.136642916
202310,U6177570,-4.440400056
202311,U6177570,8.633448449
202312,U6177570,6.896059404
202201,U6177570,1.410975657
202202,U6177570,-1.481543073
202203,U6177570,0.364680763
202204,U6177570,-3.080358522
202205,U6177570,0.14435747
202206,U6177570,-1.706733461
202207,U6177570,2.325917359
202208,U6177570,1.630773581
202209,U6177570,-6.625582659
202210,U6177570,-0.471971013
202211,U6177570,7.852909538
202212,U6177570,-0.081417327
202101,U6177570,-
202102,U6177570,-
202103,U6177570,-
202104,U6177570,-
202105,U6177570,-
202106,U6177570,0.996841302
202107,U6177570,-0.657992409
202108,U6177570,1.316354598
202109,U6177570,-0.705640776
202110,U6177570,0.176916534
202111,U6177570,-1.662440531
202112,U6177570,1.079000177
