Quarter,Account,AccountReturn
2025 Q1,U6177570,-7.214889599
2025 Q2,U6177570,34.137626769
2025 Q3,U6177570,8.558538094
2025 Q4,U6177570,-32.427906659
2024 Q1,U6177570,5.60809341
2024 Q2,U6177570,-7.32101806
2024 Q3,U6177570,9.809376828
2024 Q4,U6177570,12.205620582
2023 Q1,U6177570,3.236072009
2023 Q2,U6177570,1.005655054
2023 Q3,U6177570,-4.820692253
2023 Q4,U6177570,10.968466546
2022 Q1,U6177570,0.272875556
2022 Q2,U6177570,-4.596995634
2022 Q3,U6177570,-2.895628215
2022 Q4,U6177570,7.256478555
2021 Q1,U6177570,-
2021 Q2,U6177570,-
2021 Q3,U6177570,-0.060524653
2021 Q4,U6177570,-0.425525493
